client_id,monthly_income_cop,credit_exposure_cop,avg_days_late_last_year,num_active_products,credit_utilization,months_with_bank,product_usage_score,competitor_rate_inquiries,complaint_count_last_year,active_products_change_6m,client_value_score,defaulted_30_60_days,churned_3_months
CL100082,5070485.0,9387659.0,11.3,1,0.329,69,0.789,1,0,0,0.38,0,0
CL100083,1868908.0,4385310.0,7.1,4,0.421,126,0.381,1,0,-2,0.549,0,0
CL100084,1616467.0,3735611.0,12.2,5,0.15,127,0.713,1,0,-1,0.724,0,0
CL100085,1884403.0,3162501.0,11.0,3,0.313,153,0.695,1,0,0,0.503,0,1
CL100086,3827418.0,3213034.0,0.4,3,0.421,33,0.659,1,0,-2,0.519,0,0
CL100087,2854410.0,1351248.0,17.8,1,0.418,64,0.568,0,0,-1,0.096,0,0
CL100088,1858202.0,4804091.0,2.1,3,0.234,144,0.723,1,1,1,0.835,0,0
CL100089,3130282.0,3881632.0,6.4,5,0.612,177,0.169,1,1,-1,0.385,0,0
CL100090,2542196.0,6727758.0,8.3,2,0.631,93,0.465,0,0,1,0.486,1,0
CL100091,3930678.0,4262926.0,1.5,1,0.207,123,0.8,0,0,1,0.673,0,0
CL100092,1704826.0,3562978.0,29.9,4,0.337,15,0.62,0,0,-2,0.56,1,0
CL100093,2055786.0,2169842.0,5.4,3,0.068,20,0.663,1,2,-1,0.605,0,1
CL100094,1990599.0,4199631.0,0.5,5,0.692,22,0.418,0,0,1,0.208,0,0
CL100095,1165013.0,6694294.0,22.2,3,0.491,10,0.814,1,0,-2,0.408,0,0
CL100096,2808216.0,1793470.0,7.1,4,0.149,96,0.617,1,0,-1,0.736,0,1
CL100097,2759411.0,4244912.0,9.6,5,0.197,156,0.682,1,0,-2,0.093,0,0
CL100098,2427947.0,4700268.0,6.0,4,0.597,137,0.62,0,1,1,0.246,0,0
CL100099,2153718.0,2415350.0,14.4,5,0.599,31,0.958,0,0,1,0.241,0,0
CL100100,1193397.0,2645844.0,0.3,2,0.384,96,0.484,0,0,-1,0.695,0,0
CL100101,1962397.0,4692273.0,2.5,5,0.535,74,0.71,1,0,0,0.253,1,0
CL100102,2040372.0,1805964.0,5.1,4,0.166,159,0.578,2,0,-1,0.36,0,0
CL100103,1621499.0,5100997.0,0.6,1,0.426,75,0.775,0,0,1,0.541,1,0
CL100104,2234118.0,2133452.0,9.8,2,0.448,171,0.82,0,0,-2,0.533,0,0
CL100105,2963926.0,8402145.0,4.0,3,0.31,74,0.42,0,0,1,0.447,0,0
CL100106,6218834.0,20511155.0,2.5,2,0.472,137,0.701,0,0,-2,0.358,0,0
CL100107,2642640.0,2185751.0,0.0,2,0.293,42,0.542,0,0,0,0.383,0,1
CL100108,2754579.0,5803348.0,10.2,3,0.311,74,0.716,0,0,-2,0.378,1,0
CL100109,2333260.0,2400723.0,14.4,5,0.286,178,0.688,0,1,0,0.537,0,0
CL100110,927840.0,8274325.0,4.0,2,0.381,165,0.932,0,0,-2,0.293,0,0
CL100111,2389855.0,1646758.0,6.6,2,0.404,84,0.529,1,0,-1,0.322,0,1
CL100112,2495788.0,5589558.0,2.1,1,0.213,145,0.678,2,1,-1,0.39,0,0
CL100113,8298796.0,2167116.0,7.8,1,0.58,176,0.87,0,0,1,0.382,0,0
CL100114,2199674.0,3454232.0,0.1,4,0.156,2,0.726,0,0,1,0.363,0,0
CL100115,2815847.0,1940163.0,5.4,3,0.35,42,0.584,0,1,1,0.376,1,0
CL100116,2380079.0,7100284.0,8.3,5,0.05,106,0.549,0,0,1,0.321,0,0
CL100117,1350062.0,2222434.0,20.0,5,0.095,139,0.754,0,0,-2,0.573,1,0
CL100118,4288345.0,5875930.0,3.8,4,0.062,127,0.596,1,2,0,0.384,0,0
CL100119,3527029.0,3138110.0,11.6,5,0.651,73,0.518,0,0,-2,0.226,0,0
CL100120,3596659.0,3685325.0,7.3,5,0.202,173,0.401,1,0,-1,0.332,0,0
CL100121,1536944.0,4427870.0,20.9,1,0.511,173,0.603,0,0,1,0.527,0,0
CL100122,4883619.0,2342485.0,4.1,5,0.101,157,0.897,0,0,-2,0.285,0,0
CL100123,1201492.0,4626249.0,3.1,5,0.503,162,0.894,0,1,-1,0.543,1,0
CL100124,3247606.0,11654864.0,17.5,4,0.098,95,0.803,1,0,1,0.837,0,0
CL100125,7240695.0,2315957.0,0.4,4,0.099,90,0.466,2,0,-1,0.058,0,0
CL100126,1475831.0,9068044.0,1.2,2,0.405,121,0.532,1,1,-1,0.219,0,0
CL100127,1824563.0,11394808.0,0.7,5,0.097,20,0.298,0,0,1,0.409,0,0
CL100128,2545470.0,2255070.0,14.8,5,0.613,72,0.598,0,0,-2,0.526,0,0
CL100129,1882784.0,1441885.0,0.1,5,0.182,70,0.896,1,0,1,0.128,0,0
CL100130,1115338.0,4932579.0,15.8,1,0.732,146,0.634,0,0,-2,0.446,1,0
CL100131,2506208.0,2721829.0,4.8,5,0.708,117,0.508,1,1,-1,0.103,0,0
CL100132,1423812.0,14768724.0,0.0,1,0.423,52,0.454,0,1,-1,0.381,0,1
CL100133,3068797.0,4091267.0,4.1,2,0.407,25,0.798,0,0,-2,0.179,0,0
CL100134,1529250.0,2277207.0,1.7,3,0.122,66,0.86,0,0,-2,0.371,0,1
CL100135,5256454.0,1788680.0,7.8,5,0.383,28,0.608,1,0,0,0.23,0,0
CL100136,1636996.0,8562763.0,9.1,4,0.697,89,0.77,0,0,-2,0.57,0,1
CL100137,2061551.0,2676903.0,5.3,4,0.415,20,0.746,1,1,0,0.146,0,0
CL100138,3637323.0,4117185.0,0.3,5,0.304,70,0.389,0,0,1,0.384,0,0
CL100139,1308730.0,7795537.0,8.5,1,0.362,37,0.335,0,1,0,0.793,0,1
CL100140,2713446.0,2844845.0,14.8,4,0.326,16,0.63,0,0,-2,0.814,1,0
CL100141,4655554.0,3866460.0,10.2,4,0.334,163,0.835,1,0,-1,0.117,0,0
CL100142,1084097.0,3946746.0,14.2,2,0.299,100,0.781,1,1,-2,0.289,0,0
CL100143,2655961.0,6441855.0,1.8,2,0.207,78,0.482,0,0,0,0.265,1,0
CL100144,2757793.0,6037624.0,17.6,2,0.338,14,0.705,0,2,0,0.714,0,0
CL100145,3580136.0,3422632.0,3.1,4,0.369,24,0.296,0,0,0,0.676,0,0
CL100146,1304753.0,4174705.0,0.1,4,0.51,83,0.859,0,0,-1,0.061,0,0
CL100147,1251398.0,3077889.0,14.8,5,0.285,38,0.241,2,0,-2,0.658,1,0
CL100148,3143888.0,1419296.0,22.8,5,0.292,82,0.808,0,2,-2,0.432,0,0
CL100149,2809430.0,4781767.0,8.5,1,0.415,9,0.74,1,0,-1,0.033,0,0
CL100150,2744876.0,15014609.0,2.1,4,0.491,121,0.868,0,0,-1,0.106,0,0
CL100151,2879779.0,2150899.0,2.3,5,0.635,59,0.959,1,0,-1,0.692,1,1
CL100152,1723707.0,2324183.0,5.0,5,0.347,51,0.818,0,0,-1,0.736,0,0
CL100153,2719958.0,2170549.0,18.2,2,0.78,109,0.84,0,0,1,0.489,0,0
CL100154,2803940.0,6630656.0,1.3,2,0.057,51,0.148,0,0,-2,0.266,0,0
CL100155,1694375.0,5465356.0,14.0,2,0.109,19,0.64,1,1,-1,0.549,0,0
CL100156,6155689.0,3573384.0,2.8,3,0.398,62,0.445,1,0,1,0.632,0,0
CL100157,3069166.0,2099871.0,13.2,5,0.433,10,0.516,0,0,-2,0.538,0,0
CL100158,1334875.0,4259506.0,20.2,2,0.387,166,0.199,0,0,-1,0.233,0,0
CL100159,3362774.0,1335431.0,4.5,2,0.347,131,0.647,0,0,-1,0.418,0,0
CL100160,1487577.0,4414471.0,3.6,4,0.197,176,0.586,0,0,1,0.405,0,0
CL100161,3589568.0,7348943.0,13.0,2,0.21,169,0.898,0,0,-1,0.627,0,0
CL100162,4322298.0,1663045.0,6.0,4,0.096,145,0.37,0,0,-2,0.477,1,0
CL100163,1606645.0,1365781.0,9.2,1,0.618,87,0.536,0,0,1,0.656,0,0
CL100164,3920337.0,12062434.0,7.8,2,0.395,73,0.694,0,0,0,0.447,0,1
CL100165,2976892.0,2601941.0,1.3,4,0.507,83,0.928,0,0,-1,0.742,0,0
CL100166,3652893.0,8843237.0,14.9,2,0.233,93,0.699,1,1,-2,0.036,0,1
CL100167,6251903.0,3584758.0,1.7,1,0.433,15,0.503,1,0,1,0.34,0,0
CL100168,2142119.0,3564847.0,21.5,2,0.377,106,0.787,0,0,-2,0.465,0,0
CL100169,1661335.0,5426956.0,2.3,4,0.682,100,0.788,0,0,0,0.482,1,0
CL100170,1552292.0,2150478.0,10.6,1,0.16,76,0.863,0,0,0,0.66,0,0
CL100171,1610564.0,4380827.0,2.7,1,0.094,78,0.556,0,0,-1,0.166,0,0
CL100172,2330164.0,3057039.0,3.1,1,0.317,143,0.161,1,0,0,0.646,0,0
CL100173,2872163.0,1584302.0,3.0,3,0.236,115,0.898,0,0,1,0.502,0,0
CL100174,2781067.0,5056765.0,11.0,4,0.544,95,0.739,1,0,0,0.427,0,0
CL100175,3662262.0,3320695.0,6.5,3,0.429,133,0.767,2,0,1,0.3,0,1
CL100176,2437543.0,3577170.0,17.2,1,0.546,44,0.169,1,1,-1,0.238,0,0
CL100177,5009101.0,1711511.0,2.9,3,0.162,3,0.522,0,1,-2,0.16,0,0
CL100178,2121580.0,12163865.0,9.4,2,0.257,47,0.616,0,1,-2,0.691,0,0
CL100179,9436395.0,7375689.0,11.2,3,0.045,158,0.374,1,0,0,0.7,0,0
CL100180,3311241.0,7841252.0,1.3,5,0.245,12,0.902,1,1,1,0.532,0,0
CL100181,1577609.0,3224178.0,4.1,1,0.415,15,0.618,0,2,0,0.261,0,0
CL100182,1417710.0,1190129.0,5.3,1,0.08,166,0.891,0,1,0,0.104,0,0
CL100183,3082453.0,15666609.0,3.5,4,0.416,28,0.252,0,0,-1,0.776,0,0
CL100184,2165731.0,3825622.0,3.1,2,0.406,177,0.966,0,0,1,0.204,0,0
CL100185,3460765.0,2363940.0,9.3,4,0.155,87,0.42,1,0,-2,0.227,0,1
CL100186,3068253.0,5345476.0,1.9,3,0.141,175,0.209,1,0,-2,0.499,0,0
CL100187,2335147.0,9038326.0,9.9,5,0.382,75,0.703,0,0,-2,0.751,1,0
CL100188,1585806.0,3928879.0,21.9,5,0.355,94,0.421,2,1,-1,0.301,1,0
CL100189,1135492.0,9771716.0,6.7,5,0.38,12,0.404,0,1,0,0.632,0,0
CL100190,1937177.0,8521475.0,7.6,5,0.236,54,0.793,2,0,-2,0.439,0,0
CL100191,3716152.0,1879532.0,0.6,2,0.533,83,0.661,0,0,0,0.209,0,0
CL100192,2695372.0,2491379.0,16.0,3,0.149,32,0.854,0,1,-1,0.237,1,0
CL100193,1299033.0,7805007.0,2.7,5,0.506,129,0.705,1,0,0,0.18,0,0
CL100194,2640795.0,597895.0,7.6,1,0.397,144,0.444,0,1,-1,0.4,0,0
CL100195,2936294.0,3596174.0,30.9,3,0.113,11,0.661,1,1,0,0.611,0,0
CL100196,1556688.0,1466543.0,7.2,2,0.24,97,0.325,0,0,-1,0.439,0,0
CL100197,2615230.0,2860229.0,10.3,5,0.254,55,0.712,0,0,0,0.165,0,0
CL100198,2493267.0,3239164.0,4.7,2,0.23,164,0.399,0,0,-2,0.728,0,0
CL100199,1367527.0,3107189.0,0.5,5,0.19,30,0.848,1,0,-2,0.215,0,0
CL100200,2896152.0,2712597.0,12.8,1,0.454,68,0.303,0,0,-1,0.285,0,1
CL100201,3205544.0,1852413.0,0.3,3,0.107,56,0.653,0,1,0,0.433,0,0
CL100202,4162080.0,19862377.0,9.6,1,0.116,89,0.53,2,0,-1,0.147,0,0
CL100203,4101655.0,14756931.0,0.2,5,0.561,98,0.27,2,0,-2,0.276,0,0
CL100204,1216107.0,1770113.0,15.9,4,0.481,17,0.625,0,0,0,0.386,0,0
CL100205,1515245.0,12085074.0,1.4,3,0.417,161,0.517,2,0,-1,0.1,0,0
CL100206,3133050.0,3018813.0,5.8,2,0.423,158,0.651,2,0,-2,0.487,1,0
CL100207,3131094.0,4370689.0,7.3,5,0.164,13,0.714,0,0,-2,0.293,0,0
CL100208,3133070.0,3819798.0,4.9,1,0.231,140,0.325,0,2,1,0.222,1,0
CL100209,16624129.0,2515988.0,3.3,4,0.433,124,0.711,0,1,1,0.126,0,0
CL100210,3221782.0,7950113.0,5.0,5,0.348,32,0.379,0,0,-2,0.157,1,0
CL100211,4272812.0,4360602.0,3.0,2,0.178,87,0.838,0,0,1,0.007,0,0
CL100212,3902004.0,2860234.0,4.6,1,0.262,93,0.591,0,1,-1,0.47,1,0
CL100213,3354105.0,1602038.0,3.6,3,0.29,34,0.576,0,0,1,0.362,0,0
CL100214,2068564.0,2136081.0,6.7,4,0.355,83,0.661,2,0,0,0.241,0,0
CL100215,3539460.0,1265571.0,2.2,5,0.133,12,0.496,1,2,-1,0.647,0,0
CL100216,1645554.0,4027098.0,35.8,5,0.044,4,0.679,0,0,1,0.333,0,1
CL100217,2151317.0,1727756.0,5.6,5,0.275,89,0.743,0,1,1,0.598,0,0
CL100218,1899912.0,3315462.0,1.7,5,0.438,154,0.319,1,0,0,0.208,0,0
CL100219,2522944.0,10418267.0,5.2,1,0.311,82,0.107,0,1,-1,0.585,0,1
CL100220,7704609.0,9244226.0,16.1,3,0.258,128,0.623,0,0,-1,0.223,0,0
CL100221,952045.0,3903586.0,0.2,2,0.212,158,0.773,0,0,-1,0.395,1,0
CL100222,3413095.0,3756660.0,9.1,4,0.239,122,0.7,0,0,0,0.22,0,0
CL100223,1081265.0,14885709.0,6.4,5,0.282,162,0.658,1,0,1,0.113,0,0
CL100224,1912715.0,5748959.0,1.5,5,0.198,33,0.477,0,0,-1,0.088,1,0
CL100225,4174375.0,3174103.0,13.6,3,0.371,159,0.802,2,0,0,0.707,0,0
CL100226,2500847.0,1471492.0,3.7,3,0.642,56,0.611,1,0,0,0.148,0,0
CL100227,1412861.0,5260366.0,2.8,1,0.35,62,0.563,1,0,-2,0.202,0,0
CL100228,1693568.0,7135027.0,14.1,1,0.576,31,0.401,1,0,0,0.316,0,0
CL100229,3401744.0,2565962.0,8.1,1,0.299,24,0.749,1,1,-2,0.525,0,0
CL100230,1680861.0,4895573.0,18.3,4,0.068,69,0.615,1,0,-2,0.695,0,0
CL100231,2698561.0,3095620.0,8.0,1,0.317,179,0.455,1,1,-2,0.444,0,0
CL100232,2477563.0,3510178.0,10.8,5,0.184,98,0.849,0,0,1,0.186,0,0
CL100233,1748379.0,699782.0,14.5,1,0.658,9,0.606,0,0,-1,0.718,1,0
CL100234,7074250.0,3418639.0,0.5,4,0.007,8,0.382,0,1,1,0.497,0,1
CL100235,3324931.0,7869920.0,12.0,1,0.36,107,0.535,1,1,1,0.62,0,0
CL100236,879781.0,2566409.0,7.6,1,0.638,164,0.812,0,0,0,0.52,1,1
CL100237,2658379.0,4142328.0,0.6,5,0.247,93,0.966,0,0,1,0.532,1,0
CL100238,1739497.0,2352136.0,5.7,5,0.131,69,0.355,1,1,-2,0.512,0,0
CL100239,3708792.0,5138692.0,0.7,5,0.367,46,0.812,0,0,1,0.022,0,0
CL100240,1629428.0,3431245.0,10.7,1,0.454,138,0.527,0,1,0,0.316,0,0
CL100241,2286726.0,2068907.0,6.3,5,0.448,102,0.831,0,0,-1,0.267,0,0
CL100242,3117349.0,10147988.0,24.6,3,0.531,74,0.328,0,0,-2,0.362,0,0
CL100243,3733578.0,7650277.0,1.6,2,0.368,127,0.238,1,0,-2,0.286,1,0
CL100244,1328886.0,2614453.0,7.5,2,0.686,139,0.887,0,1,-2,0.134,0,1
CL100245,2048768.0,5657269.0,1.9,5,0.097,116,0.545,0,0,1,0.36,0,0
CL100246,1909835.0,5816379.0,7.6,4,0.239,8,0.486,0,0,-2,0.132,0,0
CL100247,1746869.0,6259500.0,10.3,5,0.199,68,0.709,0,0,-2,0.067,1,1
CL100248,5854535.0,1219585.0,10.2,5,0.71,146,0.15,0,1,-1,0.388,0,0
CL100249,2965306.0,8077755.0,13.5,1,0.666,128,0.506,1,0,-2,0.174,0,0
CL100250,1289233.0,2679687.0,15.4,4,0.341,122,0.644,0,0,1,0.498,0,0
CL100251,3832129.0,3108095.0,0.6,5,0.186,3,0.547,1,1,-2,0.443,0,0
CL100252,6997602.0,25305118.0,3.4,3,0.142,108,0.749,0,1,-2,0.893,0,0
CL100253,4058129.0,4932277.0,9.3,2,0.394,143,0.695,1,1,1,0.568,0,0
CL100254,1132927.0,3046714.0,5.5,3,0.686,128,0.416,1,0,-2,0.491,1,0
CL100255,1900985.0,852812.0,1.7,3,0.118,120,0.824,1,0,-1,0.175,0,1
CL100256,4562839.0,10562652.0,6.4,3,0.136,55,0.433,0,1,0,0.079,0,0
CL100257,1700045.0,1557127.0,4.2,4,0.029,70,0.668,0,0,-1,0.23,0,0
CL100258,3023452.0,1977992.0,4.0,4,0.331,121,0.529,1,0,-1,0.183,0,0
CL100259,3567291.0,3166234.0,13.3,4,0.42,100,0.516,1,0,-1,0.144,1,0
CL100260,1523521.0,10761530.0,4.2,2,0.249,32,0.259,0,1,-2,0.645,0,1
CL100261,2350732.0,6860343.0,0.2,1,0.26,6,0.687,0,0,0,0.187,0,0
CL100262,478957.0,3575136.0,0.5,5,0.046,144,0.611,0,0,-2,0.343,1,0
CL100263,1451062.0,4954488.0,15.5,5,0.329,16,0.937,1,0,1,0.551,0,0
CL100264,2134442.0,2622740.0,25.9,1,0.237,14,0.471,0,0,-2,0.389,0,1
CL100265,1297706.0,4402828.0,9.3,5,0.123,62,0.86,0,1,-1,0.283,0,0
CL100266,5477754.0,4203112.0,3.6,3,0.807,146,0.24,0,0,-2,0.135,0,0
CL100267,1184616.0,7866619.0,22.3,2,0.192,8,0.724,0,1,-1,0.909,0,0
CL100268,1943455.0,7857859.0,8.7,5,0.287,133,0.419,0,2,0,0.086,0,1
CL100269,2585347.0,5642197.0,14.9,2,0.35,88,0.899,0,0,0,0.601,0,0
CL100270,4978487.0,3098277.0,11.6,1,0.177,41,0.893,0,1,1,0.742,0,0
CL100271,1181232.0,6711115.0,3.8,5,0.395,111,0.806,1,0,0,0.595,1,0
CL100272,4332182.0,3743839.0,5.2,2,0.377,59,0.91,0,0,0,0.367,0,0
CL100273,2434170.0,1872266.0,1.6,3,0.077,9,0.58,1,0,0,0.717,0,0
CL100274,1482508.0,3010746.0,2.8,3,0.639,42,0.191,0,1,-1,0.413,0,0
CL100275,3051219.0,4236165.0,12.0,1,0.41,18,0.547,0,1,0,0.242,0,0
CL100276,2675187.0,7550702.0,18.0,4,0.771,46,0.542,1,0,1,0.551,1,0
CL100277,1793880.0,3511417.0,10.3,5,0.23,123,0.585,1,0,-2,0.369,0,0
CL100278,2507761.0,1712664.0,5.0,3,0.312,176,0.495,1,0,1,0.194,0,0
CL100279,1997373.0,4154569.0,0.7,3,0.288,28,0.835,0,2,0,0.442,1,0
CL100280,2563179.0,4322823.0,0.5,1,0.23,37,0.267,1,0,-1,0.487,0,0
CL100281,3372164.0,4547492.0,3.8,3,0.678,74,0.883,0,0,0,0.133,1,0
CL100282,5352147.0,7601910.0,5.0,5,0.42,20,0.767,1,0,0,0.565,0,0
CL100283,1304189.0,8147700.0,7.5,1,0.534,166,0.398,0,0,-2,0.61,0,0
CL100284,7035763.0,2634101.0,0.1,2,0.272,169,0.437,2,1,-1,0.738,0,0
CL100285,912512.0,2593969.0,36.6,1,0.312,112,0.673,1,2,0,0.356,0,0
CL100286,2244756.0,1927744.0,3.6,5,0.623,124,0.569,1,0,-1,0.344,0,1
CL100287,3249977.0,6512090.0,15.1,5,0.51,148,0.762,1,0,-2,0.458,0,0
CL100288,2787055.0,11008454.0,6.1,2,0.094,151,0.704,0,0,-1,0.107,0,0
